attribute,start,min,max,name
Sp. Def,43,81,203,helioptile
Speed,70,130,262,helioptile
HP,69,248,342,boltund
Attack,90,166,306,boltund
Defense,60,112,240,boltund
Sp. Atk,90,166,306,boltund
Sp. Def,60,112,240,boltund
Speed,121,222,375,boltund
HP,85,280,374,eelektross
Attack,115,211,361,eelektross
Defense,80,148,284,eelektross
Sp. Atk,105,193,339,eelektross
Sp. Def,80,148,284,eelektross
Speed,50,94,218,eelektross
HP,65,240,334,eelektrik
Attack,85,157,295,eelektrik
Defense,70,130,262,eelektrik
Sp. Atk,75,139,273,eelektrik
Sp. Def,70,130,262,eelektrik
Speed,40,76,196,eelektrik
HP,35,180,274,tynamo
Attack,55,103,229,tynamo
Defense,40,76,196,tynamo
Sp. Atk,45,85,207,tynamo
Sp. Def,40,76,196,tynamo
Speed,60,112,240,tynamo
HP,40,190,284,gossifleur
Attack,40,76,196,gossifleur
Defense,60,112,240,gossifleur
Sp. Atk,40,76,196,gossifleur
Sp. Def,60,112,240,gossifleur
Speed,10,22,130,gossifleur
HP,100,310,404,rillaboom
Attack,125,229,383,rillaboom
Defense,90,166,306,rillaboom
Sp. Atk,60,112,240,rillaboom
Sp. Def,70,130,262,rillaboom
Speed,85,157,295,rillaboom
HP,70,250,344,thwackey
Attack,85,157,295,thwackey
Defense,70,130,262,thwackey
Sp. Atk,55,103,229,thwackey
Sp. Def,60,112,240,thwackey
Speed,80,148,284,thwackey
HP,60,230,324,eldegoss
Attack,50,94,218,eldegoss
Defense,90,166,306,eldegoss
Sp. Atk,80,148,284,eldegoss
Sp. Def,120,220,372,eldegoss
Speed,60,112,240,eldegoss
HP,80,270,364,cinderace
Attack,116,213,364,cinderace
Defense,75,139,273,cinderace
Sp. Atk,65,121,251,cinderace
Sp. Def,75,139,273,cinderace
Speed,119,218,370,cinderace
HP,40,190,284,fennekin
Attack,45,85,207,fennekin
Defense,40,76,196,fennekin
Sp. Atk,62,116,245,fennekin
Sp. Def,60,112,240,fennekin
Speed,60,112,240,fennekin
HP,59,228,322,braixen
Attack,59,110,238,braixen
Defense,58,108,236,braixen
Sp. Atk,90,166,306,braixen
Sp. Def,70,130,262,braixen
Speed,73,135,269,braixen
HP,65,240,334,torracat
Attack,85,157,295,torracat
Defense,50,94,218,torracat
Sp. Atk,80,148,284,torracat
Sp. Def,50,94,218,torracat
Speed,90,166,306,torracat
HP,45,200,294,litten
Attack,65,121,251,litten
Defense,40,76,196,litten
Sp. Atk,60,112,240,litten
Sp. Def,40,76,196,litten
Speed,70,130,262,litten
HP,85,280,374,heatmor
Attack,97,179,322,heatmor
Defense,66,123,254,heatmor
Sp. Atk,105,193,339,heatmor
Sp. Def,66,123,254,heatmor
Speed,65,121,251,heatmor
HP,75,260,354,simisear
Attack,98,180,324,simisear
Defense,63,117,247,simisear
Sp. Atk,98,180,324,simisear
Sp. Def,63,117,247,simisear
Speed,101,186,331,simisear
HP,50,210,304,scorbunny
Attack,71,132,265,scorbunny
Defense,40,76,196,scorbunny
Sp. Atk,40,76,196,scorbunny
Sp. Def,40,76,196,scorbunny
Speed,69,128,260,scorbunny
HP,65,240,334,raboot
Attack,86,159,298,raboot
Defense,60,112,240,raboot
Sp. Atk,55,103,229,raboot
Sp. Def,60,112,240,raboot
Speed,94,173,315,raboot
HP,80,270,364,volcanion
Attack,110,202,350,volcanion
Defense,120,220,372,volcanion
Sp. Atk,130,238,394,volcanion
Sp. Def,90,166,306,volcanion
Speed,70,130,262,volcanion
HP,50,210,304,pansear
Attack,53,99,225,pansear
Defense,48,90,214,pansear
Sp. Atk,53,99,225,pansear
Sp. Def,48,90,214,pansear
Speed,64,119,249,pansear
HP,75,260,354,magmortar
Attack,95,175,317,magmortar
Defense,67,125,256,magmortar
Sp. Atk,125,229,383,magmortar
Sp. Def,95,175,317,magmortar
Speed,83,153,291,magmortar
HP,70,250,344,torkoal
Attack,85,157,295,torkoal
Defense,140,256,416,torkoal
Sp. Atk,85,157,295,torkoal
Sp. Def,70,130,262,torkoal
Speed,20,40,152,torkoal
HP,44,198,292,chimchar
Attack,58,108,236,chimchar
Defense,44,83,205,chimchar
Sp. Atk,58,108,236,chimchar
Sp. Def,44,83,205,chimchar
Speed,61,114,243,chimchar
HP,85,280,374,floatzel
Attack,105,193,339,floatzel
Defense,55,103,229,floatzel
Sp. Atk,85,157,295,floatzel
Sp. Def,50,94,218,floatzel
Speed,115,211,361,floatzel
HP,55,220,314,buizel
Attack,65,121,251,buizel
Defense,35,67,185,buizel
Sp. Atk,60,112,240,buizel
Sp. Def,30,58,174,buizel
Speed,85,157,295,buizel
HP,65,240,334,tepig
Attack,63,117,247,tepig
Defense,45,85,207,tepig
Sp. Atk,45,85,207,tepig
Sp. Def,45,85,207,tepig
Speed,45,85,207,tepig
HP,53,216,310,piplup
Attack,51,96,221,piplup
Defense,53,99,225,piplup
Sp. Atk,61,114,243,piplup
Sp. Def,56,105,232,piplup
Speed,40,76,196,piplup
HP,64,238,332,prinplup
Attack,66,123,254,prinplup
Defense,68,126,258,prinplup
Sp. Atk,81,150,287,prinplup
Sp. Def,76,141,276,prinplup
Speed,50,94,218,prinplup
HP,43,196,290,luvdisc
Attack,30,58,174,luvdisc
Defense,55,103,229,luvdisc
Sp. Atk,40,76,196,luvdisc
Sp. Def,65,121,251,luvdisc
Speed,97,179,322,luvdisc
HP,100,310,404,kyogre
Attack,100,184,328,kyogre
Defense,90,166,306,kyogre
Sp. Atk,150,274,438,kyogre
Sp. Def,140,256,416,kyogre
Speed,90,166,306,kyogre
HP,100,310,404,kyogre
Attack,150,274,438,kyogre
Defense,90,166,306,kyogre
Sp. Atk,180,328,504,kyogre
Sp. Def,160,292,460,kyogre
Speed,90,166,306,kyogre
HP,55,220,314,huntail
Attack,104,191,337,huntail
Defense,105,193,339,huntail
Sp. Atk,94,173,315,huntail
Sp. Def,75,139,273,huntail
Speed,52,98,223,huntail
HP,20,150,244,feebas
Attack,15,31,141,feebas
Defense,20,40,152,feebas
Sp. Atk,10,22,130,feebas
Sp. Def,55,103,229,feebas
Speed,80,148,284,feebas
HP,35,180,274,clamperl
Attack,64,119,249,clamperl
Defense,85,157,295,clamperl
Sp. Atk,74,137,271,clamperl
Sp. Def,55,103,229,clamperl
Speed,32,62,179,clamperl
HP,95,300,394,milotic
Attack,60,112,240,milotic
Defense,79,146,282,milotic
Sp. Atk,100,184,328,milotic
Sp. Def,125,229,383,milotic
Speed,81,150,287,milotic
HP,43,196,290,corphish
Attack,80,148,284,corphish
Defense,65,121,251,corphish
Sp. Atk,50,94,218,corphish
Sp. Def,35,67,185,corphish
Speed,35,67,185,corphish
HP,130,370,464,wailmer
Attack,70,130,262,wailmer
Defense,35,67,185,wailmer
Sp. Atk,70,130,262,wailmer
Sp. Def,35,67,185,wailmer
Speed,60,112,240,wailmer
HP,170,450,544,wailord
Attack,90,166,306,wailord
Defense,45,85,207,wailord
Sp. Atk,90,166,306,wailord
Sp. Def,45,85,207,wailord
Speed,60,112,240,wailord
HP,55,220,314,gorebyss
Attack,84,155,293,gorebyss
Defense,105,193,339,gorebyss
Sp. Atk,114,209,359,gorebyss
Sp. Def,75,139,273,gorebyss
Speed,52,98,223,gorebyss
HP,50,210,304,mudkip
Attack,70,130,262,mudkip
Defense,50,94,218,mudkip
Sp. Atk,50,94,218,mudkip
Sp. Def,50,94,218,mudkip
Speed,40,76,196,mudkip
HP,90,290,384,politoed
Attack,75,139,273,politoed
Defense,75,139,273,politoed
Sp. Atk,90,166,306,politoed
Sp. Def,100,184,328,politoed
Speed,70,130,262,politoed
HP,85,280,374,feraligatr
Attack,105,193,339,feraligatr
Defense,100,184,328,feraligatr
Sp. Atk,79,146,282,feraligatr
Sp. Def,83,153,291,feraligatr
Speed,78,144,280,feraligatr
HP,65,240,334,croconaw
Attack,80,148,284,croconaw
Defense,80,148,284,croconaw
Sp. Atk,59,110,238,croconaw
Sp. Def,63,117,247,croconaw
Speed,58,108,236,croconaw
HP,50,210,304,totodile
Attack,65,121,251,totodile
Defense,64,119,249,totodile
Sp. Atk,44,83,205,totodile
Sp. Def,48,90,214,totodile
Speed,43,81,203,totodile
HP,130,370,464,vaporeon
Attack,65,121,251,vaporeon
Defense,60,112,240,vaporeon
Sp. Atk,110,202,350,vaporeon
Sp. Def,95,175,317,vaporeon
Speed,65,121,251,vaporeon
HP,100,310,404,suicune
Attack,75,139,273,suicune
Defense,115,211,361,suicune
Sp. Atk,90,166,306,suicune
Sp. Def,115,211,361,suicune
Speed,85,157,295,suicune
HP,35,180,274,remoraid
Attack,65,121,251,remoraid
Defense,35,67,185,remoraid
Sp. Atk,65,121,251,remoraid
Sp. Def,35,67,185,remoraid
Speed,65,121,251,remoraid
HP,75,260,354,octillery
Attack,105,193,339,octillery
Defense,75,139,273,octillery
Sp. Atk,105,193,339,octillery
Sp. Def,75,139,273,octillery
Speed,45,85,207,octillery
HP,86,282,376,pyroar
Attack,68,126,258,pyroar
Defense,72,134,267,pyroar
Sp. Atk,109,200,348,pyroar
Sp. Def,66,123,254,pyroar
Speed,106,195,342,pyroar
HP,55,220,314,seadra
Attack,65,121,251,seadra
Defense,95,175,317,seadra
Sp. Atk,95,175,317,seadra
Sp. Def,45,85,207,seadra
Speed,85,157,295,seadra
HP,20,150,244,magikarp
Attack,10,22,130,magikarp
Defense,55,103,229,magikarp
Sp. Atk,15,31,141,magikarp
Sp. Def,20,40,152,magikarp
Speed,80,148,284,magikarp
HP,95,300,394,bouffalant
Attack,110,202,350,bouffalant
Defense,95,175,317,bouffalant
Sp. Atk,40,76,196,bouffalant
Sp. Def,95,175,317,bouffalant
Speed,55,103,229,bouffalant
HP,75,260,354,cinccino
Attack,95,175,317,cinccino
Defense,60,112,240,cinccino
Sp. Atk,65,121,251,cinccino
Sp. Def,60,112,240,cinccino
Speed,115,211,361,cinccino
HP,62,234,328,litleo
Attack,50,94,218,litleo
Defense,58,108,236,litleo
Sp. Atk,73,135,269,litleo
Sp. Def,54,101,227,litleo
Speed,72,134,267,litleo
HP,38,186,280,bunnelby
Attack,36,69,188,bunnelby
Defense,38,72,192,bunnelby
Sp. Atk,32,62,179,bunnelby
Sp. Def,36,69,188,bunnelby
Speed,57,107,234,bunnelby
HP,80,270,364,seaking
Attack,92,170,311,seaking
Defense,65,121,251,seaking
Sp. Atk,65,121,251,seaking
Sp. Def,80,148,284,seaking
Speed,68,126,258,seaking
HP,30,170,264,staryu
Attack,45,85,207,staryu
Defense,55,103,229,staryu
Sp. Atk,70,130,262,staryu
Sp. Def,55,103,229,staryu
Speed,85,157,295,staryu
HP,55,220,314,minccino
Attack,50,94,218,minccino
Defense,40,76,196,minccino
Sp. Atk,40,76,196,minccino
Sp. Def,40,76,196,minccino
Speed,75,139,273,minccino
HP,45,200,294,goldeen
Attack,67,125,256,goldeen
Defense,60,112,240,goldeen
Sp. Atk,35,67,185,goldeen
Sp. Def,50,94,218,goldeen
Speed,63,117,247,goldeen
HP,85,280,374,stoutland
Attack,110,202,350,stoutland
Defense,90,166,306,stoutland
Sp. Atk,45,85,207,stoutland
Sp. Def,90,166,306,stoutland
Speed,80,148,284,stoutland
HP,45,200,294,lillipup
Attack,60,112,240,lillipup
Defense,45,85,207,lillipup
Sp. Atk,25,49,163,lillipup
Sp. Def,45,85,207,lillipup
Speed,55,103,229,lillipup
HP,120,350,444,arceus
Attack,120,220,372,arceus
Defense,120,220,372,arceus
Sp. Atk,120,220,372,arceus
Sp. Def,120,220,372,arceus
Speed,120,220,372,arceus
HP,110,330,424,regigigas
Attack,160,292,460,regigigas
Defense,110,202,350,regigigas
Sp. Atk,80,148,284,regigigas
Sp. Def,110,202,350,regigigas
Speed,100,184,328,regigigas
HP,85,280,374,porygon-z
Attack,80,148,284,porygon-z
Defense,70,130,262,porygon-z
Sp. Atk,135,247,405,porygon-z
Sp. Def,75,139,273,porygon-z
Speed,90,166,306,porygon-z
HP,60,230,324,watchog
Attack,85,157,295,watchog
Defense,69,128,260,watchog
Sp. Atk,60,112,240,watchog
Sp. Def,69,128,260,watchog
Speed,77,143,278,watchog
HP,45,200,294,patrat
Attack,55,103,229,patrat
Defense,39,74,194,patrat
Sp. Atk,35,67,185,patrat
Sp. Def,39,74,194,patrat
Speed,42,80,201,patrat
HP,65,240,334,herdier
Attack,80,148,284,herdier
Defense,65,121,251,herdier
Sp. Atk,35,67,185,herdier
Sp. Def,65,121,251,herdier
Speed,60,112,240,herdier
